Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bambanglipuro,-7.95,110.2833,78.49,82,99,3.89,ID,2021-03-20 23:39:08
guozhen,34.3659,107.359,42.58,27,100,1.43,CN,2021-03-20 23:39:09
mezen,65.8522,44.24,13.12,96,94,9.35,RU,2021-03-20 23:39:09
lebu,-37.6167,-73.65,56.64,81,4,6.46,CL,2021-03-20 23:39:10
vaini,-21.2,-175.2,86,74,40,6.91,TO,2021-03-20 23:39:10
hilo,19.7297,-155.09,71.6,78,90,9.22,US,2021-03-20 23:39:11
geraldton,-28.7667,114.6,75.2,31,0,14.97,AU,2021-03-20 23:39:11
primorsk,46.7348,36.3443,34.77,88,1,9.37,UA,2021-03-20 23:39:12
atuona,-9.8,-139.0333,80.2,80,16,13.47,PF,2021-03-20 23:39:13
bluff,-46.6,168.3333,57,93,90,5.99,NZ,2021-03-20 23:39:13
longyearbyen,78.2186,15.6401,14,73,40,9.22,SJ,2021-03-20 23:39:13
lompoc,34.6391,-120.4579,57.2,51,1,19.57,US,2021-03-20 23:39:14
barrow,71.2906,-156.7887,-7.6,71,1,6.91,US,2021-03-20 23:39:14
kapaa,22.0752,-159.319,75.2,69,20,19.57,US,2021-03-20 23:36:58
yafran,32.0633,12.5286,63.57,26,73,7.09,LY,2021-03-20 23:39:15
kawalu,-7.3817,108.2082,74.82,81,78,1.03,ID,2021-03-20 23:39:16
poum,-20.2333,164.0167,79.68,73,78,12.19,NC,2021-03-20 23:39:16
new norfolk,-42.7826,147.0587,68,50,8,3,AU,2021-03-20 23:39:17
taltal,-25.4,-70.4833,66.43,75,9,4.76,CL,2021-03-20 23:39:17
zavetnoye,47.1194,43.8903,35.38,92,92,10.02,RU,2021-03-20 23:39:17
kununurra,-15.7667,128.7333,75.2,100,90,4.61,AU,2021-03-20 23:39:18
busselton,-33.65,115.3333,74.16,39,0,3.24,AU,2021-03-20 23:39:18
sovetskiy,61.3614,63.5842,2.28,93,100,8.61,RU,2021-03-20 23:39:19
ushuaia,-54.8,-68.3,46.4,76,40,33.38,AR,2021-03-20 23:34:35
margate,51.3813,1.3862,48,75,98,1.01,GB,2021-03-20 23:39:20
narsaq,60.9167,-46.05,32,93,90,9.22,GL,2021-03-20 23:34:23
porto novo,6.4965,2.6036,82.4,78,20,6.91,BJ,2021-03-20 23:39:20
rikitea,-23.1203,-134.9692,80.08,71,4,4.72,PF,2021-03-20 23:35:19
linjiang,41.8069,126.9078,34.48,79,98,9.62,CN,2021-03-20 23:39:21
puerto ayora,-0.7393,-90.3518,84.2,70,20,10.36,EC,2021-03-20 23:39:21
tasiilaq,65.6145,-37.6368,24.8,93,90,46.04,GL,2021-03-20 23:39:22
jumla,29.2747,82.1838,40.28,66,10,3.71,NP,2021-03-20 23:39:04
hithadhoo,-0.6,73.0833,83.14,70,100,10.36,MV,2021-03-20 23:39:22
asau,46.4333,26.4,30.99,63,100,1.45,RO,2021-03-20 23:39:23
kalmunai,7.4167,81.8167,77.58,84,78,1.63,LK,2021-03-20 23:39:23
port elizabeth,-33.918,25.5701,64.4,88,20,12.66,ZA,2021-03-20 23:39:24
coromandel,-18.4733,-47.2003,65.07,94,3,4.92,BR,2021-03-20 23:39:25
bredasdorp,-34.5322,20.0403,55.4,94,66,2.3,ZA,2021-03-20 23:39:25
bethel,41.3712,-73.414,57.2,21,1,2.55,US,2021-03-20 23:39:25
ilulissat,69.2167,-51.1,12.2,67,25,5.26,GL,2021-03-20 23:39:26
thompson,55.7435,-97.8558,50,34,75,3.44,CA,2021-03-20 23:39:26
buzmeyin,38.0507,58.2056,46.4,81,17,2.3,TM,2021-03-20 23:39:27
baruun-urt,46.6806,113.2792,18.5,51,26,12.88,MN,2021-03-20 23:39:27
carnarvon,-24.8667,113.6333,71.6,83,0,5.75,AU,2021-03-20 23:37:10
arlit,18.7369,7.3853,81.23,7,21,8.16,NE,2021-03-20 23:39:28
emerald,-23.5333,148.1667,80.6,69,90,12.66,AU,2021-03-20 23:39:28
chokurdakh,70.6333,147.9167,-12.98,93,0,4.34,RU,2021-03-20 23:39:29
punta arenas,-53.15,-70.9167,50,62,75,18.41,CL,2021-03-20 23:39:29
porbandar,21.6422,69.6093,72.66,82,0,7.92,IN,2021-03-20 23:39:30
zirl,47.3028,11.2745,24.8,74,41,2.3,AT,2021-03-20 23:39:30
byron bay,-28.65,153.6167,73.4,94,75,19.57,AU,2021-03-20 23:39:30
vyshneve,50.3891,30.3705,30.99,80,0,6.71,UA,2021-03-20 23:39:31
saint-joseph,-21.3667,55.6167,78.8,78,0,19.57,RE,2021-03-20 23:39:31
korla,41.7597,86.1469,37,56,0,7.36,CN,2021-03-20 23:39:32
kushiro,42.975,144.3747,28.4,100,75,5.75,JP,2021-03-20 23:39:32
abu samrah,35.3029,37.1841,52.45,58,0,2.57,SY,2021-03-20 23:39:33
faanui,-16.4833,-151.75,83.12,68,1,7.18,PF,2021-03-20 23:39:33
saint george,37.1041,-113.5841,70,12,1,24.16,US,2021-03-20 23:39:34
sirok,47.9333,20.2,30.58,88,25,2.91,HU,2021-03-20 23:39:34
mus,39,41.75,30.9,91,88,1.07,TR,2021-03-20 23:39:35
qaanaaq,77.484,-69.3632,-8.34,97,100,2.08,GL,2021-03-20 23:39:35
hermanus,-34.4187,19.2345,55.99,92,38,1.01,ZA,2021-03-20 23:39:35
constitucion,-35.3333,-72.4167,56.82,85,100,7.58,CL,2021-03-20 23:39:36
bissau,11.8636,-15.5977,73.4,78,0,5.75,GW,2021-03-20 23:39:36
batagay,67.6333,134.6333,1.38,87,42,5.37,RU,2021-03-20 23:39:37
bathsheba,13.2167,-59.5167,77,57,20,13.8,BB,2021-03-20 23:39:37
severo-kurilsk,50.6789,156.125,24.69,79,86,21.09,RU,2021-03-20 23:39:38
vila franca do campo,37.7167,-25.4333,59,67,75,4.61,PT,2021-03-20 23:39:38
yavas,54.4159,42.8491,15.42,96,56,4.38,RU,2021-03-20 23:39:39
aksu,41.1231,80.2644,35.78,51,25,2.13,CN,2021-03-20 23:39:39
samarai,-10.6167,150.6667,84.34,76,100,8.46,PG,2021-03-20 23:39:40
mattru,7.6244,-11.8332,75.65,71,9,1.88,SL,2021-03-20 23:39:40
pevek,69.7008,170.3133,-19.23,93,17,3.06,RU,2021-03-20 23:39:41
awjilah,29.1081,21.2869,75,19,45,11.54,LY,2021-03-20 23:39:41
yellowknife,62.456,-114.3525,9,66,40,19.57,CA,2021-03-20 23:39:42
east london,-33.0153,27.9116,69.1,80,55,17.72,ZA,2021-03-20 23:39:42
namibe,-15.1961,12.1522,73.22,75,16,2.71,AO,2021-03-20 23:39:43
khatanga,71.9667,102.5,-37.44,97,22,8.68,RU,2021-03-20 23:39:43
sandwick,60,-1.25,42.8,65,90,9.22,GB,2021-03-20 23:39:44
pangnirtung,66.1451,-65.7125,-16.37,89,9,1.32,CA,2021-03-20 23:39:44
jamestown,42.097,-79.2353,46.4,27,1,3.06,US,2021-03-20 23:37:51
aklavik,68.2191,-135.0107,-0.4,60,20,3.44,CA,2021-03-20 23:39:45
norman wells,65.282,-126.8329,1.4,60,20,9.22,CA,2021-03-20 23:39:45
bilma,18.6853,12.9164,84.85,16,12,6.13,NE,2021-03-20 23:39:46
te anau,-45.4167,167.7167,60.13,60,65,1.97,NZ,2021-03-20 23:39:46
altay,47.8667,88.1167,26.37,22,60,6.42,CN,2021-03-20 23:39:47
biskamzha,53.4497,89.5272,19.74,92,100,2.93,RU,2021-03-20 23:39:47
mecca,21.4267,39.8261,77.31,28,0,2.62,SA,2021-03-20 23:39:47
bengkulu,-3.8004,102.2655,76.69,82,88,4.47,ID,2021-03-20 23:39:48
shellbrook,53.2168,-106.4011,53.6,26,40,4.61,CA,2021-03-20 23:39:48
saint-philippe,-21.3585,55.7679,78.8,78,0,19.57,RE,2021-03-20 23:39:49
paamiut,61.994,-49.6678,25.2,94,100,27.13,GL,2021-03-20 23:39:49
arraial do cabo,-22.9661,-42.0278,77.58,85,6,17.67,BR,2021-03-20 23:39:50
santa cruz del norte,23.1539,-81.9236,71.6,68,20,10.36,CU,2021-03-20 23:39:50
opmeer,52.7067,4.9444,43,89,100,3,NL,2021-03-20 23:39:51
hasaki,35.7333,140.8333,62.6,94,75,16.11,JP,2021-03-20 23:39:51
manggar,-2.8833,108.2667,80.28,82,98,7.43,ID,2021-03-20 23:39:52
bambous virieux,-20.3428,57.7575,80.01,89,40,11.5,MU,2021-03-20 23:39:53
fortuna,40.5982,-124.1573,55.99,54,1,11.5,US,2021-03-20 23:39:53
souillac,-20.5167,57.5167,78.8,89,40,11.5,MU,2021-03-20 23:39:54
port-gentil,-0.7193,8.7815,78.8,94,90,3.44,GA,2021-03-20 23:39:54
port moresby,-9.4431,147.1797,86,74,20,5.75,PG,2021-03-20 23:36:08
sungairaya,0.7,108.9,77.85,88,100,6.73,ID,2021-03-20 23:39:55
qui nhon,13.7667,109.2333,78.19,88,88,3,VN,2021-03-20 23:39:56
albany,42.6001,-73.9662,51.8,29,20,14.97,US,2021-03-20 23:39:57
beloha,-25.1667,45.05,73.51,78,2,5.55,MG,2021-03-20 23:39:57
upernavik,72.7868,-56.1549,-4.86,91,100,13.38,GL,2021-03-20 23:39:58
tiksi,71.6872,128.8694,-16.24,99,100,11.7,RU,2021-03-20 23:39:58
high wycombe,51.6291,-0.7493,46.99,86,92,1.99,GB,2021-03-20 23:35:03
butaritari,3.0707,172.7902,82.44,79,12,16.13,KI,2021-03-20 23:39:59
dikson,73.5069,80.5464,-23.55,80,6,17.11,RU,2021-03-20 23:39:59
bejar,40.3864,-5.7634,35.01,69,0,10.36,ES,2021-03-20 23:40:00
fethiye,36.6217,29.1164,51.8,93,20,4.61,TR,2021-03-20 23:40:00
hibbing,47.4272,-92.9377,55.4,33,1,14.97,US,2021-03-20 23:40:01
qaqortoq,60.7167,-46.0333,32,93,90,9.22,GL,2021-03-20 23:40:01
northam,51.0333,-4.2167,48,89,91,5.99,GB,2021-03-20 23:40:02
altagracia de orituco,9.8601,-66.3814,71.53,81,100,7.9,VE,2021-03-20 23:40:03
turtas,58.9417,69.1325,22.06,94,100,9.08,RU,2021-03-20 23:40:04
medea,36.2642,2.7539,50,93,75,6.91,DZ,2021-03-20 23:40:04
port keats,-14.25,129.55,81.16,84,85,6.64,AU,2021-03-20 23:40:05
estrela,-28.0611,-50.9383,66.7,90,71,5.37,BR,2021-03-20 23:40:05
dobryatino,55.5055,41.3195,17.92,93,22,7.31,RU,2021-03-20 23:40:06
melfort,52.8667,-104.6177,46.4,53,100,6.91,CA,2021-03-20 23:40:06
campbell river,50.0163,-125.2446,46.4,46,90,14.97,CA,2021-03-20 23:40:07
severnoye,56.3491,78.3619,32.34,96,100,18.16,RU,2021-03-20 23:40:07
portland,45.5234,-122.6762,52,71,75,9.22,US,2021-03-20 23:38:34
puerto morazan,12.8504,-87.1717,93.2,27,40,4.61,NI,2021-03-20 23:40:08
san luis potosi,22.5,-100.5,71.6,24,1,11.5,MX,2021-03-20 23:39:53
okhotsk,59.3833,143.3,10.63,83,95,5.82,RU,2021-03-20 23:40:08
kiunga,-6.1219,141.2906,73.42,97,100,4.56,PG,2021-03-20 23:40:09
cherskiy,68.75,161.3,-11.49,82,0,5.32,RU,2021-03-20 23:40:09
okha,53.5739,142.9478,23.9,80,64,13.78,RU,2021-03-20 23:40:09
ostersund,63.1792,14.6357,32,93,40,26.46,SE,2021-03-20 23:40:10
homer,59.6425,-151.5483,30.2,69,90,13.8,US,2021-03-20 23:35:16
havelock,34.8791,-76.9013,48.99,77,97,5.99,US,2021-03-20 23:40:11
haines junction,60.7522,-137.5108,14,37,100,5.75,CA,2021-03-20 23:40:11
itoman,26.1247,127.6694,69.8,83,75,16.11,JP,2021-03-20 23:40:12
kpandu,6.9954,0.2931,80.24,75,60,2.13,GH,2021-03-20 23:40:12
nikolskoye,59.7035,30.7861,28,86,90,15.66,RU,2021-03-20 23:40:13
gesztely,48.1,20.9667,24.8,63,0,4.61,HU,2021-03-20 23:40:13
gigmoto,13.7796,124.39,81.9,83,57,9.69,PH,2021-03-20 23:40:14
cape town,-33.9258,18.4232,64.4,59,0,18.41,ZA,2021-03-20 23:36:05
san carlos de bariloche,-41.1456,-71.3082,57.2,51,0,11.5,AR,2021-03-20 23:40:14
mahebourg,-20.4081,57.7,78.8,89,40,11.5,MU,2021-03-20 23:40:15
alice springs,-23.7,133.8833,64.4,94,90,10.36,AU,2021-03-20 23:40:15
mataura,-46.1927,168.8643,57.99,91,91,7,NZ,2021-03-20 23:40:15
san andres,12.5847,-81.7006,75.2,94,40,13.8,CO,2021-03-20 23:40:16
naze,28.3667,129.4833,68,83,75,8.05,JP,2021-03-20 23:40:16
benjamin constant,-4.3831,-70.0311,82.4,78,40,2.3,BR,2021-03-20 23:40:17
svetlogorsk,52.6333,29.7333,26.37,79,53,8.66,BY,2021-03-20 23:40:17
kirensk,57.7853,108.1119,13.21,96,94,4.5,RU,2021-03-20 23:40:17
cabo san lucas,22.8909,-109.9124,86,21,1,4.61,MX,2021-03-20 23:40:02
ribeira grande,38.5167,-28.7,59.43,81,89,15.75,PT,2021-03-20 23:40:18
port lincoln,-34.7333,135.8667,74.37,59,7,9.31,AU,2021-03-20 23:40:19
todos santos,23.45,-110.2167,84.99,17,1,12.66,MX,2021-03-20 23:40:19
saskylakh,71.9167,114.0833,-34.87,97,100,10.4,RU,2021-03-20 23:40:19
sitka,57.0531,-135.33,35.6,69,90,13.8,US,2021-03-20 23:39:36
port alfred,-33.5906,26.891,66.07,88,57,16.17,ZA,2021-03-20 23:40:20
adrar,20.5022,-10.0711,68.94,12,61,10.49,MR,2021-03-20 23:40:20
broome,42.2506,-75.833,46.4,34,1,6.91,US,2021-03-20 23:40:21
saint anthony,45.0205,-93.218,57,38,40,16.11,US,2021-03-20 23:40:21
tuatapere,-46.1333,167.6833,57.99,91,95,7,NZ,2021-03-20 23:40:21
mount gambier,-37.8333,140.7667,66.2,77,77,8.05,AU,2021-03-20 23:40:22
guerrero negro,27.9769,-114.0611,66.83,62,27,20.87,MX,2021-03-20 23:35:38
georgetown,5.4112,100.3354,78.8,83,20,3.44,MY,2021-03-20 23:38:57
thinadhoo,0.5333,72.9333,82.44,70,98,6.96,MV,2021-03-20 23:40:23
talnakh,69.4865,88.3972,-23.1,64,0,8.28,RU,2021-03-20 23:40:23
iqaluit,63.7506,-68.5145,-9,70,20,13.8,CA,2021-03-20 23:40:24
kaoma,-14.7833,24.8,63.07,96,0,4.29,ZM,2021-03-20 23:40:24
lebaksiu,-7.0496,109.1441,77.38,81,90,4.05,ID,2021-03-20 23:40:24
bosaso,11.2842,49.1816,73.44,59,0,2.57,SO,2021-03-20 23:40:25
saldanha,-33.0117,17.9442,60.8,72,0,11.5,ZA,2021-03-20 23:40:25
agirish,61.9247,63.0231,-2.27,95,99,8.12,RU,2021-03-20 23:40:26
santa cruz,-17.8,-63.1667,77,78,99,8.05,BO,2021-03-20 23:40:26
chuy,-33.6971,-53.4616,70.48,97,82,4.41,UY,2021-03-20 23:40:26
kavieng,-2.5744,150.7967,83.79,75,89,8.3,PG,2021-03-20 23:40:27
pangoa,-12.1167,-73,70.56,90,53,0.92,PE,2021-03-20 23:40:27
baghdad,33.3406,44.4009,62.6,34,0,4.61,IQ,2021-03-20 23:38:14
rzhev,56.2624,34.3282,20.48,86,80,9.51,RU,2021-03-20 23:40:28
san cristobal,7.7669,-72.225,80.6,69,40,5.75,VE,2021-03-20 23:40:28
hobart,-42.8794,147.3294,68,52,75,8.05,AU,2021-03-20 23:37:42
chegdomyn,51.1167,133.0167,23.52,79,100,2.24,RU,2021-03-20 23:40:29
boueni,-12.9025,45.0761,78.8,89,0,2.3,YT,2021-03-20 23:40:29
sao filipe,14.8961,-24.4956,71.13,72,42,7.14,CV,2021-03-20 23:40:30
salalah,17.0151,54.0924,75.2,57,0,4.61,OM,2021-03-20 23:40:30
nanortalik,60.1432,-45.2371,31.55,98,100,9.22,GL,2021-03-20 23:40:30
marsa matruh,31.3525,27.2453,60.8,94,0,6.91,EG,2021-03-20 23:37:27
mujiayingzi,42.1167,118.7833,26.51,35,7,22.84,CN,2021-03-20 23:40:31
banda aceh,5.5577,95.3222,79.03,80,85,5.21,ID,2021-03-20 23:40:32
ahipara,-35.1667,173.1667,68.94,50,10,8.28,NZ,2021-03-20 23:40:32
nizhniy baskunchak,48.2198,46.8311,31.69,77,100,2.53,RU,2021-03-20 23:40:32
alta floresta,-9.8756,-56.0861,77,94,0,1.14,BR,2021-03-20 23:40:33
klaksvik,62.2266,-6.589,42.8,81,90,17.27,FO,2021-03-20 23:40:33
lorengau,-2.0226,147.2712,84.9,72,100,6.85,PG,2021-03-20 23:40:33
hambantota,6.1241,81.1185,77.47,84,70,4.47,LK,2021-03-20 23:40:34
ginir,7.1333,40.7,59.65,71,3,4.97,ET,2021-03-20 23:40:34
presidente franco,-25.5333,-54.6167,82.4,74,20,4.61,PY,2021-03-20 23:40:35
sao domingos do prata,-19.865,-42.9683,66.16,96,0,2.17,BR,2021-03-20 23:40:35
moron,-34.6534,-58.6198,66.99,93,100,1.99,AR,2021-03-20 23:40:12
panama city,8.9936,-79.5197,84.2,61,20,11.5,PA,2021-03-20 23:40:36
kuvshinovo,57.0295,34.1725,19.69,80,79,10.6,RU,2021-03-20 23:40:36
ligayan,4.6533,119.4706,83.21,76,63,7.67,PH,2021-03-20 23:40:37
pangai,-19.8,-174.35,82.13,75,32,7.92,TO,2021-03-20 23:40:37
walvis bay,-22.9575,14.5053,62.01,90,0,1.99,NA,2021-03-20 23:40:37
hami,42.8,93.45,33.8,15,0,5.41,CN,2021-03-20 23:40:38
sahuaripa,29.05,-109.2333,90.39,8,0,9.57,MX,2021-03-20 23:40:38
camacha,33.0833,-16.3333,60.8,63,75,12.66,PT,2021-03-20 23:40:39
bandarbeyla,9.4942,50.8122,76.3,78,3,9.06,SO,2021-03-20 23:40:39
nautla,20.2167,-96.7833,70.72,63,47,7.76,MX,2021-03-20 23:40:39
aripuana,-9.1667,-60.6333,72.68,98,93,2.08,BR,2021-03-20 23:40:38
iracoubo,5.4802,-53.2011,77.67,82,17,8.57,GF,2021-03-20 23:40:40
north platte,41.1239,-100.7654,64.4,36,1,28.77,US,2021-03-20 23:40:40
san lorenzo,-25.3333,-57.5333,84.2,70,20,6.91,PY,2021-03-20 23:40:41
tuktoyaktuk,69.4541,-133.0374,-13,84,75,6.91,CA,2021-03-20 23:40:41
kolno,53.4115,21.9291,26.6,74,0,11.5,PL,2021-03-20 23:40:42
phangnga,8.4509,98.5298,77,88,20,1.14,TH,2021-03-20 23:40:42
faya,18.3851,42.4509,62.6,25,0,4.5,SA,2021-03-20 23:40:42
rio gallegos,-51.6226,-69.2181,53.6,40,0,25.32,AR,2021-03-20 23:40:43
bumba,2.1833,22.4667,72.72,96,100,4.09,CD,2021-03-20 23:40:43
airai,-8.9266,125.4092,69.51,68,46,2.91,TL,2021-03-20 23:40:44
askarovo,53.3372,58.5089,24.8,74,75,4.47,RU,2021-03-20 23:40:44
goundam,16.4145,-3.6708,80.64,11,18,9.89,ML,2021-03-20 23:40:45
anadyr,64.75,177.4833,-5.8,71,0,13.42,RU,2021-03-20 23:40:45
taseyevo,57.2169,94.8978,21.65,87,100,3.94,RU,2021-03-20 23:40:45
nabire,-3.3667,135.4833,75.76,92,100,1.77,ID,2021-03-20 23:40:46
kodiak,57.79,-152.4072,37.4,87,90,5.75,US,2021-03-20 23:40:46
victoria,22.2855,114.1577,75.99,78,65,1.01,HK,2021-03-20 23:40:47
mounana,-1.4085,13.1586,69.17,98,100,1.74,GA,2021-03-20 23:40:47
ust-tsilma,65.441,52.1498,2.64,96,41,4.09,RU,2021-03-20 23:40:48
mahajanga,-15.7167,46.3167,75.2,88,20,2.3,MG,2021-03-20 23:40:48
husavik,66.0449,-17.3389,42.8,61,75,23.02,IS,2021-03-20 23:40:49
seydi,39.4816,62.9137,49.93,55,0,3,TM,2021-03-20 23:40:49
hervey bay,-25.2986,152.8535,82,78,79,4,AU,2021-03-20 23:40:50
evensk,61.95,159.2333,-3.89,57,0,2.15,RU,2021-03-20 23:40:50
tigil,57.8,158.6667,7.79,85,83,3.85,RU,2021-03-20 23:40:50
karpathos,35.507,27.2132,59,82,1,17.27,GR,2021-03-20 23:40:51
yulara,-25.2406,130.9889,64.4,100,90,9.22,AU,2021-03-20 23:40:51
merauke,-8.4667,140.3333,82.67,74,94,6.55,ID,2021-03-20 23:40:52
luderitz,-26.6481,15.1594,65.71,71,13,25.01,NA,2021-03-20 23:40:52
nanakuli,21.3906,-158.1547,80.6,54,40,18.41,US,2021-03-20 23:40:52
maningrida,-12.0667,134.2667,85.28,72,30,4.27,AU,2021-03-20 23:40:53
oktyabrskiy,54.4815,53.471,14.18,93,98,5.06,RU,2021-03-20 23:40:53
castro,-24.7911,-50.0119,65.62,96,61,4.5,BR,2021-03-20 23:40:54
winslow,35.0242,-110.6974,69.8,19,1,28.77,US,2021-03-20 23:40:54
gat,31.61,34.7642,61,54,0,1.99,IL,2021-03-20 23:40:54
setermoen,68.861,18.3486,28.4,86,100,18.41,NO,2021-03-20 23:40:55
lithakia,37.7167,20.8333,55.4,88,40,21.45,GR,2021-03-20 23:40:55
luganville,-15.5333,167.1667,81.43,81,100,7.61,VU,2021-03-20 23:40:56
xining,36.6167,101.7667,22.05,56,17,1.92,CN,2021-03-20 23:40:04
ponta delgada,37.7333,-25.6667,59,67,75,4.61,PT,2021-03-20 23:36:59
kabare,-2.4683,28.8242,60.35,95,99,0.94,CD,2021-03-20 23:40:56
flin flon,54.7682,-101.865,51.8,28,40,5.75,CA,2021-03-20 23:40:57
roald,62.5833,6.1333,37.4,70,90,19.57,NO,2021-03-20 23:40:57
saint-francois,46.4154,3.9054,33.01,80,0,4.61,FR,2021-03-20 23:40:00
eliot,43.1531,-70.8001,51.8,17,1,6.91,US,2021-03-20 23:40:58
rudbar,30.15,62.6,63.79,36,23,11.45,AF,2021-03-20 23:40:58
hofn,64.2539,-15.2082,40.87,65,100,10.96,IS,2021-03-20 23:40:59
marzuq,14.4,46.4667,58.69,25,50,2.93,YE,2021-03-20 23:40:59
scarborough,54.2797,-0.4044,46.99,83,64,5.01,GB,2021-03-20 23:41:00
charleston,32.7766,-79.9309,55.4,62,75,12.66,US,2021-03-20 23:40:12
blora,-6.9698,111.4186,77.4,87,72,5.06,ID,2021-03-20 23:38:11
panaba,21.2833,-88.2667,70.68,66,0,10.31,MX,2021-03-20 23:41:00
vostok,46.4856,135.8833,27.12,82,96,4.74,RU,2021-03-20 23:41:01
butka,56.7179,63.7866,13.96,94,92,7.72,RU,2021-03-20 23:41:01
katsuura,35.1333,140.3,64.4,88,75,14.97,JP,2021-03-20 23:39:23
songadh,21.1667,73.5667,67.3,50,0,0.89,IN,2021-03-20 23:41:02
fayaoue,-20.65,166.5333,78.51,77,56,20.38,NC,2021-03-20 23:41:02
cidreira,-30.1811,-50.2056,77.25,87,34,19.28,BR,2021-03-20 23:41:03
kloulklubed,7.0419,134.2556,82.4,78,75,8.05,PW,2021-03-20 23:41:03
loandjili,-4.7561,11.8578,77,94,20,8.37,CG,2021-03-20 23:41:04
oistins,13.0667,-59.5333,77,57,20,13.8,BB,2021-03-20 23:41:04
pemba,-12.974,40.5178,80.6,89,20,3.44,MZ,2021-03-20 23:40:20
kuala terengganu,5.3302,103.1408,75.2,94,20,2.3,MY,2021-03-20 23:41:05
vestmannaeyjar,63.4427,-20.2734,43.07,77,100,21.14,IS,2021-03-20 23:41:05
